year,month,CLOUDY_PIXEL_PERCENTAGE,volume_m2_area_fmask_deepwatermap,volume_km2_area_fmask_deepwatermap,volume_m2_area_deepwatermap,volume_km2_area_deepwatermap,volume_km2_area_ndwi,volume_m2_area_fmask_ndwi,volume_km2_area_fmask_ndwi,volume_m2_area_mndwi,volume_km2_area_mndwi,volume_m2_area_fmask_mndwi,volume_km2_area_fmask_mndwi,volume_m2_area_ndwi
2020,3,60.496527,4.1724161539508655,6.169759702901377e-07,44.8641,2.9317444644788194e-06,0.0,1.2214644760132198,2.6887381168130344e-07,44.8641,9.252563387466923e-06,4.961220767627714,6.732176948556169e-07,0.0
2020,4,7.034818,7.382739712223013,8.421263770812105e-07,7.863242025605752,8.7346296206001e-07,0.0,12.5405355042556,1.1295065115896164e-06,3.1020690787998175,4.924621408924084e-07,44.8641,4.4515079994985665e-06,0.0
2020,4,9.71534,11.190962142309054,1.0653256380151128e-06,4.662089551890978,6.518896560070832e-07,0.0,19.17996195276738,1.4614969354687848e-06,3.907289432331688,5.887036174101619e-07,44.8641,6.120579793914192e-06,0.0
2020,4,17.401007,8.051363214335788,8.857315307073702e-07,4.564652423596376,6.449423942429154e-07,0.0,5.990551505320377,7.466089185279075e-07,3.2071085662924643,5.050166613098563e-07,16.663650102523416,1.3371302745783018e-06,0.0
2020,4,48.482281,9.79849584532137,9.991049301353855e-07,32.21021821099441,2.0487327128450806e-06,2.183509591069936e-07,2.6321593621865604,4.364949785018632e-07,44.8641,3.21262792470481e-06,12.223466638608631,1.114427852396797e-06,0.9049982667602365
2020,4,19.614675,8.762597298956095,9.321155890391971e-07,44.8641,2.7486915076970012e-06,9.587221234551588e-08,44.8641,2.929556816093507e-06,44.8641,4.946865065098998e-06,44.8641,9.785731714559903e-06,0.34457744818777886
2020,4,91.579139,8.005126199274432,8.827161234735613e-07,6.856453687848138,8.078039476846197e-07,0.0,44.8641,2.9328087258554574e-06,11.835242899524696,1.0959653223711382e-06,44.8641,9.809688693521198e-06,0.0
2020,5,29.760528,10.60600197022628,1.0375070281424236e-06,12.399423964337654,1.1227957523535902e-06,1.2046847527227175e-07,40.467103391156655,2.446323025467604e-06,9.120747997306967,9.55472853887886e-07,44.8641,8.16856178455241e-06,0.43404642463472737
2020,5,61.384774,14.06152752221843,1.2042413104824515e-06,44.8641,2.9328087258554574e-06,0.0,17.208869751882716,1.3649743411708788e-06,44.8641,9.541258276972142e-06,44.8641,3.736402516520736e-06,0.0
2020,5,97.773135,8.48880164114178,9.14259648164485e-07,44.8641,2.9328087258554574e-06,0.0,44.8641,2.9328087258554574e-06,44.8641,9.809688693521198e-06,44.8641,9.809688693521198e-06,0.0
2020,5,38.75158,9.68688429611403,9.923941708993595e-07,44.8641,2.9263344691475737e-06,3.9614173463765427e-08,44.8641,2.7336735971599927e-06,44.8641,7.693055631235567e-06,44.8641,8.670417660721876e-06,0.1261872636060779
2020,5,48.566857,10.085692019075077,1.012762951135579e-06,37.43499392669214,2.2902313568939615e-06,1.7569181559340145e-07,44.8641,2.9323948464312095e-06,29.98448690118553,1.954487738588286e-06,44.8641,9.809511453232952e-06,0.6377889396964247
2020,5,91.238017,9.63203450373732,9.888170701612135e-07,44.8641,2.9328087258554574e-06,0.0,44.8641,2.9328087258554574e-06,44.8641,9.809688693521198e-06,44.8641,9.809688693521198e-06,0.0
